0, 2026/09/07 20:13:03.927, 30, 210 MHz, 22.19 W, 280.00 W, 0 %, 0x0000000000000001
1, 2026/09/07 20:13:03.941, 31, 210 MHz, 18.93 W, 280.00 W, 0 %, 0x0000000000000001
2, 2026/09/07 20:13:03.952, 31, 210 MHz, 21.73 W, 280.00 W, 0 %, 0x0000000000000001
3, 2026/09/07 20:13:03.962, 34, 210 MHz, 22.10 W, 280.00 W, 0 %, 0x0000000000000001
4, 2026/09/07 20:13:03.971, 34, 210 MHz, 24.99 W, 280.00 W, 0 %, 0x0000000000000001
5, 2026/09/07 20:13:03.981, 41, 210 MHz, 68.54 W, 280.00 W, 0 %, 0x0000000000000001
0, 2026/09/07 20:13:05.990, 30, 210 MHz, 22.19 W, 280.00 W, 0 %, 0x0000000000000001
1, 2026/09/07 20:13:05.992, 31, 210 MHz, 18.93 W, 280.00 W, 0 %, 0x0000000000000001
2, 2026/09/07 20:13:05.993, 31, 210 MHz, 21.68 W, 280.00 W, 0 %, 0x0000000000000001
3, 2026/09/07 20:13:05.995, 34, 210 MHz, 22.25 W, 280.00 W, 0 %, 0x0000000000000001
4, 2026/09/07 20:13:05.996, 34, 210 MHz, 24.83 W, 280.00 W, 0 %, 0x0000000000000001
5, 2026/09/07 20:13:05.998, 40, 210 MHz, 22.85 W, 280.00 W, 0 %, 0x0000000000000001
0, 2026/09/07 20:13:08.000, 29, 210 MHz, 22.15 W, 280.00 W, 0 %, 0x0000000000000001
1, 2026/09/07 20:13:08.001, 31, 210 MHz, 19.03 W, 280.00 W, 0 %, 0x0000000000000001
2, 2026/09/07 20:13:08.002, 31, 210 MHz, 21.62 W, 280.00 W, 0 %, 0x0000000000000001
3, 2026/09/07 20:13:08.004, 34, 210 MHz, 22.62 W, 280.00 W, 0 %, 0x0000000000000001
4, 2026/09/07 20:13:08.005, 34, 210 MHz, 24.79 W, 280.00 W, 0 %, 0x0000000000000001
5, 2026/09/07 20:13:08.006, 39, 210 MHz, 22.61 W, 280.00 W, 0 %, 0x0000000000000001
0, 2026/09/07 20:13:10.008, 30, 210 MHz, 22.02 W, 280.00 W, 0 %, 0x0000000000000001
1, 2026/09/07 20:13:10.009, 31, 210 MHz, 18.87 W, 280.00 W, 0 %, 0x0000000000000001
2, 2026/09/07 20:13:10.010, 31, 210 MHz, 21.54 W, 280.00 W, 0 %, 0x0000000000000001
3, 2026/09/07 20:13:10.012, 34, 210 MHz, 22.54 W, 280.00 W, 0 %, 0x0000000000000001
4, 2026/09/07 20:13:10.013, 34, 210 MHz, 24.90 W, 280.00 W, 0 %, 0x0000000000000001
5, 2026/09/07 20:13:10.015, 38, 210 MHz, 22.77 W, 280.00 W, 0 %, 0x0000000000000001
0, 2026/09/07 20:13:12.016, 30, 210 MHz, 22.10 W, 280.00 W, 0 %, 0x0000000000000001
1, 2026/09/07 20:13:12.018, 31, 210 MHz, 18.86 W, 280.00 W, 0 %, 0x0000000000000001
2, 2026/09/07 20:13:12.019, 31, 210 MHz, 21.67 W, 280.00 W, 0 %, 0x0000000000000001
3, 2026/09/07 20:13:12.021, 34, 210 MHz, 22.36 W, 280.00 W, 0 %, 0x0000000000000001
4, 2026/09/07 20:13:12.022, 34, 210 MHz, 24.71 W, 280.00 W, 0 %, 0x0000000000000001
