timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/11 16:03:36.761, 0, 1, 0, 210, 405, 22.43, 29, 0x0000000000000001
2026/09/11 16:03:36.768, 1, 1, 0, 210, 405, 19.10, 31, 0x0000000000000001
2026/09/11 16:03:36.774, 2, 1, 0, 210, 405, 21.42, 31, 0x0000000000000001
2026/09/11 16:03:36.780, 3, 1, 0, 210, 405, 22.42, 32, 0x0000000000000001
2026/09/11 16:03:36.787, 4, 1, 0, 210, 405, 24.11, 32, 0x0000000000000001
2026/09/11 16:03:36.793, 5, 1, 0, 210, 405, 21.86, 30, 0x0000000000000001
2026/09/11 16:03:37.299, 0, 1, 0, 210, 405, 22.27, 29, 0x0000000000000001
2026/09/11 16:03:37.299, 1, 1, 0, 210, 405, 19.14, 31, 0x0000000000000001
2026/09/11 16:03:37.299, 2, 1, 0, 210, 405, 21.47, 31, 0x0000000000000001
2026/09/11 16:03:37.299, 3, 1, 0, 210, 405, 22.37, 32, 0x0000000000000001
2026/09/11 16:03:37.299, 4, 1, 0, 210, 405, 24.12, 32, 0x0000000000000001
2026/09/11 16:03:37.299, 5, 1, 0, 210, 405, 21.77, 30, 0x0000000000000001
2026/09/11 16:03:37.799, 0, 1, 0, 210, 405, 22.27, 29, 0x0000000000000001
2026/09/11 16:03:37.799, 1, 1, 0, 210, 405, 19.14, 31, 0x0000000000000001
2026/09/11 16:03:37.800, 2, 1, 0, 210, 405, 21.47, 31, 0x0000000000000001
2026/09/11 16:03:37.800, 3, 1, 0, 210, 405, 22.37, 32, 0x0000000000000001
2026/09/11 16:03:37.800, 4, 1, 0, 210, 405, 24.12, 32, 0x0000000000000001
2026/09/11 16:03:37.800, 5, 1, 0, 210, 405, 21.77, 30, 0x0000000000000001
2026/09/11 16:03:38.300, 0, 1, 0, 210, 405, 22.75, 29, 0x0000000000000004
2026/09/11 16:03:38.306, 1, 19, 0, 210, 405, 19.00, 31, 0x0000000000000001
2026/09/11 16:03:38.307, 2, 1, 0, 210, 405, 22.19, 31, 0x0000000000000001
2026/09/11 16:03:38.307, 3, 1, 1, 210, 405, 22.96, 32, 0x0000000000000001
2026/09/11 16:03:38.307, 4, 1, 0, 210, 405, 24.96, 33, 0x0000000000000001
2026/09/11 16:03:38.307, 5, 1, 0, 210, 405, 22.36, 31, 0x0000000000000001
2026/09/11 16:03:38.807, 0, 1, 0, 210, 405, 25.84, 30, 0x0000000000000001
2026/09/11 16:03:38.808, 1, 688, 100, 1500, 9501, 50.73, 40, 0x0000000000000004
2026/09/11 16:03:38.808, 2, 1, 0, 210, 405, 24.81, 31, 0x0000000000000001
2026/09/11 16:03:38.808, 3, 1, 0, 210, 405, 25.82, 33, 0x0000000000000001
2026/09/11 16:03:38.808, 4, 1, 0, 210, 405, 27.23, 33, 0x0000000000000001
2026/09/11 16:03:38.808, 5, 1, 0, 210, 405, 23.92, 31, 0x0000000000000001
2026/09/11 16:03:39.309, 0, 1, 0, 210, 405, 31.57, 30, 0x0000000000000001
2026/09/11 16:03:39.309, 1, 688, 100, 1485, 9501, 174.39, 45, 0x0000000000000004
2026/09/11 16:03:39.309, 2, 1, 0, 210, 405, 25.91, 31, 0x0000000000000001
2026/09/11 16:03:39.309, 3, 1, 0, 210, 405, 27.04, 33, 0x0000000000000001
2026/09/11 16:03:39.310, 4, 1, 0, 210, 405, 31.74, 33, 0x0000000000000001
2026/09/11 16:03:39.310, 5, 1, 0, 210, 405, 26.83, 31, 0x0000000000000001
2026/09/11 16:03:39.810, 0, 1, 0, 210, 405, 31.57, 30, 0x0000000000000001
2026/09/11 16:03:39.810, 1, 688, 100, 1485, 9501, 281.54, 46, 0x0000000000000004
2026/09/11 16:03:39.811, 2, 1, 0, 210, 405, 25.91, 31, 0x0000000000000001
2026/09/11 16:03:39.811, 3, 1, 0, 210, 405, 27.04, 33, 0x0000000000000001
2026/09/11 16:03:39.811, 4, 1, 0, 210, 405, 31.74, 33, 0x0000000000000001
2026/09/11 16:03:39.811, 5, 1, 0, 210, 405, 26.83, 31, 0x0000000000000001
2026/09/11 16:03:40.311, 0, 1, 0, 210, 405, 23.00, 30, 0x0000000000000001
2026/09/11 16:03:40.312, 1, 688, 100, 1485, 9501, 279.60, 47, 0x0000000000000004
2026/09/11 16:03:40.312, 2, 1, 0, 210, 405, 22.98, 31, 0x0000000000000001
2026/09/11 16:03:40.312, 3, 1, 0, 210, 405, 24.08, 33, 0x0000000000000001
2026/09/11 16:03:40.312, 4, 1, 0, 210, 405, 25.02, 33, 0x0000000000000001
2026/09/11 16:03:40.312, 5, 1, 0, 210, 405, 22.35, 31, 0x0000000000000001
2026/09/11 16:03:40.813, 0, 1, 0, 210, 405, 23.00, 30, 0x0000000000000001
2026/09/11 16:03:40.813, 1, 2736, 99, 1770, 9501, 277.40, 47, 0x0000000000000004
2026/09/11 16:03:40.813, 2, 1, 0, 210, 405, 22.98, 31, 0x0000000000000001
2026/09/11 16:03:40.813, 3, 1, 0, 210, 405, 24.08, 33, 0x0000000000000001
2026/09/11 16:03:40.813, 4, 1, 0, 210, 405, 25.02, 33, 0x0000000000000001
2026/09/11 16:03:40.814, 5, 1, 0, 210, 405, 22.35, 31, 0x0000000000000001
2026/09/11 16:03:41.314, 0, 1, 0, 210, 405, 22.13, 30, 0x0000000000000001
2026/09/11 16:03:41.314, 1, 2733, 0, 1935, 9501, 242.02, 43, 0x0000000000000004
2026/09/11 16:03:41.314, 2, 1, 0, 210, 405, 22.05, 31, 0x0000000000000001
2026/09/11 16:03:41.315, 3, 1, 0, 210, 405, 22.96, 32, 0x0000000000000001
2026/09/11 16:03:41.315, 4, 1, 0, 210, 405, 24.07, 32, 0x0000000000000001
2026/09/11 16:03:41.315, 5, 1, 0, 210, 405, 21.76, 30, 0x0000000000000001
2026/09/11 16:03:41.815, 0, 1, 0, 210, 405, 22.13, 30, 0x0000000000000001
2026/09/11 16:03:41.816, 1, 1, 0, 1935, 9751, 177.96, 42, 0x0000000000000000
2026/09/11 16:03:41.816, 2, 1, 0, 210, 405, 22.05, 31, 0x0000000000000001
2026/09/11 16:03:41.816, 3, 1, 0, 210, 405, 22.96, 32, 0x0000000000000001
2026/09/11 16:03:41.816, 4, 1, 0, 210, 405, 24.07, 32, 0x0000000000000001
2026/09/11 16:03:41.817, 5, 1, 0, 210, 405, 21.76, 30, 0x0000000000000001
2026/09/11 16:03:42.317, 0, 4, 0, 210, 405, 23.89, 30, 0x0000000000000001
2026/09/11 16:03:42.318, 1, 4, 0, 1935, 9751, 136.01, 42, 0x0000000000000000
2026/09/11 16:03:42.320, 2, 4, 0, 210, 405, 24.62, 31, 0x0000000000000001
2026/09/11 16:03:42.321, 3, 2, 0, 210, 405, 26.04, 33, 0x0000000000000001
2026/09/11 16:03:42.321, 4, 1, 0, 210, 405, 27.33, 33, 0x0000000000000001
2026/09/11 16:03:42.324, 5, 1, 0, 210, 405, 24.28, 31, 0x0000000000000001
2026/09/11 16:03:42.825, 0, 1, 0, 210, 405, 27.88, 30, 0x0000000000000001
2026/09/11 16:03:42.826, 1, 4, 0, 1935, 9751, 134.50, 42, 0x0000000000000000
2026/09/11 16:03:42.826, 2, 1, 0, 210, 405, 26.48, 31, 0x0000000000000001
2026/09/11 16:03:42.826, 3, 1, 0, 210, 405, 27.79, 33, 0x0000000000000001
2026/09/11 16:03:42.826, 4, 1, 0, 210, 405, 29.17, 33, 0x0000000000000001
2026/09/11 16:03:42.826, 5, 1, 0, 210, 405, 25.57, 31, 0x0000000000000001
