timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/12 02:11:55.753, 0, 1, 0, 210, 405, 22.13, 36, 0x0000000000000001
2026/09/12 02:11:55.760, 1, 1, 0, 210, 405, 19.52, 37, 0x0000000000000001
2026/09/12 02:11:55.767, 2, 1, 0, 210, 405, 21.31, 36, 0x0000000000000001
2026/09/12 02:11:55.773, 3, 15172, 96, 1560, 9501, 263.05, 75, 0x0000000000000020
2026/09/12 02:11:55.779, 4, 1, 0, 210, 405, 24.42, 37, 0x0000000000000001
2026/09/12 02:11:55.785, 5, 1, 0, 210, 405, 22.17, 36, 0x0000000000000001
2026/09/12 02:11:56.292, 0, 1, 0, 210, 405, 22.27, 36, 0x0000000000000001
2026/09/12 02:11:56.292, 1, 1, 0, 210, 405, 19.45, 37, 0x0000000000000001
2026/09/12 02:11:56.292, 2, 1, 0, 210, 405, 21.28, 36, 0x0000000000000001
2026/09/12 02:11:56.292, 3, 15172, 96, 1560, 9501, 277.96, 75, 0x0000000000000020
2026/09/12 02:11:56.292, 4, 1, 0, 210, 405, 24.23, 36, 0x0000000000000001
2026/09/12 02:11:56.292, 5, 1, 0, 210, 405, 22.17, 36, 0x0000000000000001
2026/09/12 02:11:56.792, 0, 1, 0, 210, 405, 22.27, 36, 0x0000000000000001
2026/09/12 02:11:56.793, 1, 1, 0, 210, 405, 19.45, 37, 0x0000000000000001
2026/09/12 02:11:56.793, 2, 1, 0, 210, 405, 21.28, 36, 0x0000000000000001
2026/09/12 02:11:56.793, 3, 15172, 96, 1560, 9501, 276.58, 75, 0x0000000000000020
2026/09/12 02:11:56.793, 4, 1, 0, 210, 405, 24.23, 36, 0x0000000000000001
2026/09/12 02:11:56.793, 5, 1, 0, 210, 405, 22.17, 36, 0x0000000000000001
2026/09/12 02:11:57.293, 0, 1, 0, 210, 405, 22.14, 36, 0x0000000000000001
2026/09/12 02:11:57.293, 1, 4, 0, 210, 405, 19.44, 37, 0x0000000000000001
2026/09/12 02:11:57.300, 2, 1, 0, 210, 405, 21.20, 36, 0x0000000000000001
2026/09/12 02:11:57.300, 3, 15172, 96, 1560, 9501, 276.73, 75, 0x0000000000000020
2026/09/12 02:11:57.300, 4, 1, 0, 210, 405, 24.23, 36, 0x0000000000000001
